ds,yhat,yhat_lower,yhat_upper
2018-12-24 15:34:55,2.673969198068582,1.2846370699058636,3.8703973837847085
2018-12-24 15:35:55,2.672542388367455,1.3442178395771478,3.9111907726711412
2018-12-24 15:36:55,2.6711064596802223,1.434437483944074,3.975991858766373
2018-12-24 15:37:55,2.6696617825697695,1.3935143008382938,3.9020496203880137
2018-12-24 15:38:55,2.6682087325663226,1.3526387626012288,3.9590613239854435
2018-12-24 15:39:55,2.666747690179351,1.3270802037936833,3.8831590350361647
2018-12-24 15:40:55,2.6652790409085307,1.4505090727175218,3.8486178091125245
2018-12-24 15:41:55,2.663803175160899,1.4297957570754432,4.031013533053881
2018-12-24 15:42:55,2.662320488303738,1.4683597770852754,3.8512365358503624
2018-12-24 15:43:55,2.6608313805773323,1.4061811493476217,3.8981941516530765
2018-12-24 15:44:55,2.659336257097858,1.4366455221953593,3.9366608772310006
2018-12-24 15:45:55,2.657835527859084,1.3263629734184335,3.916377166584012
2018-12-24 15:46:55,2.656329607646881,1.3890774833551938,3.92082601025087
2018-12-24 15:47:55,2.654818916039582,1.289810781005888,3.95013325896867
2018-12-24 15:48:55,2.6533038773973656,1.295935778714924,3.9103424278756944
2018-12-24 15:49:55,2.6517849207701585,1.2961691009311838,3.9271183199383275
2018-12-24 15:50:55,2.6502624799275987,1.370545202639737,3.956138887314402
2018-12-24 15:51:55,2.6487369932625757,1.4813432251293643,3.9471956513936726
2018-12-24 15:52:55,2.6472089037726234,1.2541292872012821,3.886861927573215
2018-12-24 15:53:55,2.6456786590492394,1.3184890282737212,3.9498856343728255
2018-12-24 15:54:55,2.6441467111749475,1.3165409760884912,3.999374205969768
2018-12-24 15:55:55,2.6426135167054805,1.285100290519996,3.9364997002512796
2018-12-24 15:56:55,2.6410795366502655,1.351178341751245,3.940817452604122
2018-12-24 15:57:55,2.639545236359262,1.3405188262763028,3.9738047258570544
2018-12-24 15:58:55,2.6380110855220997,1.37678879321072,3.957471781887594
2018-12-24 15:59:55,2.6364775580971833,1.3781380476003695,3.9484831349328715
2018-12-24 16:00:55,2.634945132232764,1.3330705694722245,3.949226080136384
